occupation_code	occupation_text	display_level	selectable	sort_sequence
395012	Hairdressers, hairstylists, and cosmetologists	4	T	696	
39501X	Barbers, hairdressers, hairstylists and cosmetologists	3	T	694	
395092	Manicurists and pedicurists	4	T	699	
39509X	Miscellaneous personal appearance workers	3	T	697	
395XXX	Personal appearance workers	2	T	693	
397011	Tour guides and escorts	4	T	708	
397012	Travel guides	4	T	709	
39701X	Tour and travel guides	3	T	707	
397XXX	Tour and travel guides	2	T	706	
399011	Childcare workers	4	T	712	
39901X	Childcare workers	3	T	711	
399021	Personal care aides	4	T	714	
39902X	Personal care aides	3	T	713	
399031	Fitness trainers and aerobics instructors	4	T	716	
399032	Recreation workers	4	T	717	
39903X	Recreation and fitness workers	3	T	715	
399041	Residential advisors	4	T	719	
39904X	Residential advisors	3	T	718	
39909X	Miscellaneous personal care and service workers	3	T	720	
399XXX	Other personal care and service workers	2	T	710	
39XXXX	Personal care and service occupations	1	T	662	
411011	First-line supervisors of retail sales workers	4	T	724	
411012	First-line supervisors of non-retail sales workers	4	T	725	
41101X	First-line supervisors of sales workers	3	T	723	
411XXX	Supervisors of sales workers	2	T	722	
412011	Cashiers	4	T	728	
412012	Gaming change persons and booth cashiers	4	T	729	
41201X	Cashiers	3	T	727	
412021	Counter and rental clerks	4	T	731	
412022	Parts salespersons	4	T	732	
41202X	Counter and rental clerks and parts salespersons	3	T	730	
412031	Retail salespersons	4	T	734	
41203X	Retail salespersons	3	T	733	
412XXX	Retail sales workers	2	T	726	
413011	Advertising sales agents	4	T	737	
41301X	Advertising sales agents	3	T	736	
413021	Insurance sales agents	4	T	739	
41302X	Insurance sales agents	3	T	738	
413031	Securities, commodities, and financial services sales agents	4	T	741	
41303X	Securities, commodities, and financial services sales agents	3	T	740	
41309X	Miscellaneous sales representatives, services	3	T	744	
413XXX	Sales representatives, services	2	T	735	
414011	Sales representatives, wholesale and manufacturing, technical and scientific products	4	T	747	
414012	Sales representatives, wholesale and manufacturing, except technical and scientific products	4	T	748	
41401X	Sales representatives, wholesale and manufacturing	3	T	746	
414XXX	Sales representatives, wholesale and manufacturing	2	T	745	
