occupation_code	occupation_text	display_level	selectable	sort_sequence
435041	Meter Readers, Utilities	4	T	854	
43504X	Meter Readers, Utilities	3	T	853	
435051	Postal Service Clerks	4	T	856	
435052	Postal Service Mail Carriers	4	T	857	
435053	Postal Service Mail Sorters, Processors, and Processing Machine Operators	4	T	858	
43505X	Postal Service Workers	3	T	855	
435071	Shipping, Receiving, and Traffic Clerks	4	T	862	
43507X	Shipping, Receiving, and Traffic Clerks	3	T	861	
435081	Stock Clerks and Order Fillers	4	T	864	
43508X	Stock Clerks and Order Fillers	3	T	863	
435XXX	Material Recording, Scheduling, Dispatching, and Distributing Workers	2	T	845	
436011	Executive Secretaries and Administrative Assistants	4	T	869	
436014	Secretaries, Except Legal, Medical, and Executive	4	T	872	
43601X	Secretaries and Administrative Assistants	3	T	868	
436XXX	Secretaries and Administrative Assistants	2	T	867	
439051	Mail Clerks and Mail Machine Operators, Except Postal Service	4	T	884	
43905X	Mail Clerks and Mail Machine Operators, Except Postal Service	3	T	883	
439061	Office Clerks, General	4	T	886	
43906X	Office Clerks, General	3	T	885	
439199	Office and Administrative Support Workers, All Other	4	T	894	
43919X	Miscellaneous Office and Administrative Support Workers	3	T	893	
439XXX	Other Office and Administrative Support Workers	2	T	873	
43XXXX	Office and Administrative Support Occupations	1	T	784	
451011	First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers	4	T	898	
451012	Farm Labor Contractors	4	T	899	
45101X	First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers	3	T	897	
451XXX	Supervisors, Farming, Fishing, and Forestry Workers	2	T	896	
452011	Agricultural Inspectors	4	T	902	
45201X	Agricultural Inspectors	3	T	901	
452091	Agricultural Equipment Operators	4	T	908	
452092	Farmworkers and Laborers, Crop, Nursery, and Greenhouse	4	T	909	
452093	Farmworkers, Farm and Ranch Animals	4	T	910	
452099	Agricultural Workers, All Other	4	T	911	
45209X	Miscellaneous Agricultural Workers	3	T	907	
452XXX	Agricultural Workers	2	T	900	
453011	Fishers and Related Fishing Workers	4	T	914	
45301X	Fishers and Related Fishing Workers	3	T	913	
453XXX	Fishing and Hunting Workers	2	T	912	
454011	Forest and Conservation Workers	4	T	919	
45401X	Forest and Conservation Workers	3	T	918	
454021	Fallers	4	T	921	
