industry_code	industry_text	display_level	selectable	sort_sequence
322211	Corrugated and solid fiber box manufacturing	7	T	428	
322212	Folding paperboard box manufacturing	7	T	429	
322215	Nonfolding sanitary food container manufacturing	7	T	432	
32221X	Paperboard container manufacturing	6	T	427	
32222X	Paper bag and coated and treated paper manufacturing	6	T	433	
322232	Envelope manufacturing	7	T	442	
32223X	Stationery product manufacturing	6	T	440	
3222XX	Converted paper product manufacturing	5	T	426	
322XXX	Paper manufacturing	4	T	419	
323110	Commercial lithographic printing	6	T	470	
323111	Commercial printing (except screen and books)	7	T	449	
323113	Commercial screen printing	7	T	451	
32311X	Printing	6	T	448	
3231XX	Printing and related support activities	5	T	447	
323XXX	Printing and related support activities	4	T	446	
32411X	Petroleum refineries	6	T	462	
324121	Asphalt paving mixture and block manufacturing	7	T	464	
324122	Asphalt shingle and coating materials manufacturing	7	T	465	
32412X	Asphalt paving, roofing, and saturated materials manufacturing	6	T	463	
32419X	Other petroleum and coal products manufacturing	6	T	466	
3241XX	Petroleum and coal products manufacturing	5	T	461	
324XXX	Petroleum and coal products manufacturing	4	T	460	
32511X	Petrochemical manufacturing	6	T	470	
32512X	Industrial gas manufacturing	6	T	471	
325132	Synthetic organic dye and pigment manufacturing	7	T	474	
32513X	Synthetic dye and pigment manufacturing	6	T	472	
325181	Alkalies and chlorine manufacturing	7	T	476	
32518X	Other basic inorganic chemical manufacturing	6	T	475	
325193	Ethyl alcohol manufacturing	7	T	481	
325194	Cyclic crude, intermediate, and gum and wood chemical manufacturing	7	T	482	
32519X	Other basic organic chemical manufacturing	6	T	478	
3251XX	Basic chemical manufacturing	5	T	469	
325211	Plastics material and resin manufacturing	7	T	485	
32521X	Resin and synthetic rubber manufacturing	6	T	484	
3252XX	Resin, synthetic rubber, and artificial synthetic fibers and filaments manufacturing	5	T	483	
325311	Nitrogenous fertilizer manufacturing	7	T	492	
325312	Phosphatic fertilizer manufacturing	7	T	493	
325314	Fertilizer (mixing only) manufacturing	7	T	494	
32531X	Fertilizer manufacturing	6	T	491	
32532X	Pesticide and other agricultural chemical manufacturing	6	T	495	
3253XX	Pesticide, fertilizer, and other agricultural chemical manufacturing	5	T	490	
325412	Pharmaceutical preparation manufacturing	7	T	499	
32541X	Pharmaceutical and medicine manufacturing	6	T	497	
3254XX	Pharmaceutical and medicine manufacturing	5	T	496	
32551X	Paint and coating manufacturing	6	T	503	
32552X	Adhesive manufacturing	6	T	504	
3255XX	Paint, coating, and adhesive manufacturing	5	T	502	
325611	Soap and other detergent manufacturing	7	T	507	
325612	Polish and other sanitation good manufacturing	7	T	508	
325613	Surface active agent manufacturing	7	T	509	
32561X	Soap and cleaning compound manufacturing	6	T	506	
32562X	Toilet preparation manufacturing	6	T	510	
3256XX	Soap, cleaning compound, and toilet preparation manufacturing	5	T	505	
325991	Custom compounding of purchased resins	7	T	515	
325992	Photographic film, paper, plate, and chemical manufacturing	7	T	516	
32599X	All other chemical product and preparation manufacturing	6	T	514	
3259XX	Other chemical product and preparation manufacturing	5	T	511	
325XXX	Chemical manufacturing	4	T	468	
326111	Plastics bag manufacturing	7	T	520	
326113	Unlaminated plastics film and sheet (except packaging) manufacturing	7	T	522	
32611X	Plastics packaging materials and unlaminated film and sheet manufacturing	6	T	519	
326121	Unlaminated plastics profile shape manufacturing	7	T	524	
326122	Plastics pipe and pipe fitting manufacturing	7	T	525	
32612X	Plastics pipe, pipe fitting, and unlaminated profile shape manufacturing	6	T	523	
32613X	Laminated plastics plate, sheet (except packaging), and shape manufacturing	6	T	526	
32614X	Polystyrene foam product manufacturing	6	T	527	
32616X	Plastics bottle manufacturing	6	T	529	
32619X	Other plastics product manufacturing	6	T	530	
3261XX	Plastics product manufacturing	5	T	518	
326211	Tire manufacturing (except retreading)	7	T	535	
326212	Tire retreading	7	T	536	
32621X	Tire manufacturing	6	T	534	
32622X	Rubber and plastics hoses and belting manufacturing	6	T	537	
326291	Rubber product manufacturing for mechanical use	7	T	539	
32629X	Other rubber product manufacturing	6	T	538	
3262XX	Rubber product manufacturing	5	T	533	
326XXX	Plastics and rubber products manufacturing	4	T	517	
32711X	Pottery, ceramics, and plumbing fixture manufacturing	6	T	542	
32712X	Clay building material and refractories manufacturing	6	T	546	
3271XX	Clay product and refractory manufacturing	5	T	541	
327211	Flat glass manufacturing	7	T	554	
327213	Glass container manufacturing	7	T	556	
32721X	Glass and glass product manufacturing	6	T	553	
3272XX	Glass and glass product manufacturing	5	T	552	
32731X	Cement manufacturing	6	T	559	
32732X	Ready-mix concrete manufacturing	6	T	560	
327331	Concrete block and brick manufacturing	7	T	562	
32733X	Concrete pipe, brick, and block manufacturing	6	T	561	
32739X	Other concrete product manufacturing	6	T	564	
3273XX	Cement and concrete product manufacturing	5	T	558	
327991	Cut stone and stone product manufacturing	7	T	571	
327992	Ground or treated mineral and earth manufacturing	7	T	572	
32799X	All other nonmetallic mineral product manufacturing	6	T	570	
3279XX	Other nonmetallic mineral product manufacturing	5	T	568	
327XXX	Nonmetallic mineral product manufacturing	4	T	540	
331111	Iron and steel mills	7	T	577	
33111X	Iron and steel mills and ferroalloy manufacturing	6	T	576	
3311XX	Iron and steel mills and ferroalloy manufacturing	5	T	575	
33121X	Iron and steel pipe and tube manufacturing from purchased steel	6	T	580	
331221	Rolled steel shape manufacturing	7	T	582	
33122X	Rolling and drawing of purchased steel	6	T	581	
3312XX	Steel product manufacturing from purchased steel	5	T	579	
331312	Primary aluminum production	7	T	587	
331314	Secondary smelting and alloying of aluminum	7	T	589	
331315	Aluminum sheet, plate, and foil manufacturing	7	T	590	
331316	Aluminum extruded product manufacturing	7	T	591	
33131X	Alumina and aluminum production and processing	6	T	585	
3313XX	Alumina and aluminum production and processing	5	T	584	
33141X	Nonferrous metal (except aluminum) smelting and refining	6	T	593	
33142X	Copper rolling, drawing, extruding, and alloying	6	T	595	
331492	Secondary smelting, refining, and alloying of nonferrous metal (except copper and aluminum)	7	T	601	
33149X	Nonferrous metal (except copper and aluminum) rolling, drawing, extruding, and alloying	6	T	599	
3314XX	Nonferrous metal (except aluminum) production and processing	5	T	592	
331511	Iron foundries	7	T	604	
331513	Steel foundries (except investment)	7	T	606	
33151X	Ferrous metal foundries	6	T	603	
331521	Aluminum die-casting foundries	7	T	608	
331522	Nonferrous (except aluminum) die-casting foundries	7	T	609	
331523	Nonferrous metal die-casting foundries	7	T	610	
331524	Aluminum foundries (except die-casting)	7	T	611	
33152X	Nonferrous metal foundries	6	T	607	
3315XX	Foundries	5	T	602	
331XXX	Primary metal manufacturing	4	T	574	
332111	Iron and steel forging	7	T	616	
332116	Metal stamping	7	T	620	
33211X	Forging and stamping	6	T	615	
3321XX	Forging and stamping	5	T	614	
33221X	Cutlery and handtool manufacturing	6	T	623	
3322XX	Cutlery and handtool manufacturing	5	T	622	
332311	Prefabricated metal building and component manufacturing	7	T	632	
332312	Fabricated structural metal manufacturing	7	T	633	
332313	Plate work manufacturing	7	T	634	
33231X	Plate work and fabricated structural product manufacturing	6	T	631	
332321	Metal window and door manufacturing	7	T	636	
332322	Sheet metal work manufacturing	7	T	637	
332323	Ornamental and architectural metal work manufacturing	7	T	638	
33232X	Ornamental and architectural metal products manufacturing	6	T	635	
3323XX	Architectural and structural metals manufacturing	5	T	630	
33241X	Power boiler and heat exchanger manufacturing	6	T	640	
33242X	Metal tank (heavy gauge) manufacturing	6	T	641	
332431	Metal can manufacturing	7	T	643	
33243X	Metal can, box, and other metal container (light gauge) manufacturing	6	T	642	
3324XX	Boiler, tank, and shipping container manufacturing	5	T	639	
332613	Spring manufacturing	7	T	650	
33261X	Spring and wire product manufacturing	6	T	647	
3326XX	Spring and wire product manufacturing	5	T	646	
33271X	Machine shops	6	T	652	
332721	Precision turned product manufacturing	7	T	654	
332722	Bolt, nut, screw, rivet, and washer manufacturing	7	T	655	
