industry_code	industry_text	display_level	selectable	sort_sequence
327113	Porcelain Electrical Supply Mfg(discontinued in 2014)	1	T	573	
32711X	Pottery ceramics and plumbing fixture mfg.	6	T	570	
327121	Brick and Structural Clay Tile Mfg(discontinued in 2014)	1	T	575	
327122	Ceramic Wall and Floor Tile Mfg(discontinued in 2014)	1	T	576	
327123	Other Structural Clay Product Mfg(discontinued in 2014)	1	T	577	
327124	Clay Refractory Mfg(discontinued in 2014)	1	T	578	
327125	Nonclay Refractory Mfg(discontinued in 2014)	1	T	579	
32712X	Clay building material and refractories mfg.	6	T	574	
3271XX	Clay product and refractory manufacturing	5	T	569	
327211	Flat glass manufacturing	7	T	582	
327212	Other pressed and blown glass and glassware	7	T	583	
327213	Glass container manufacturing	7	T	584	
327215	Glass product mfg. made of purchased glass	7	T	585	
32721X	Glass and glass product manufacturing	6	T	581	
3272XX	Glass and glass product manufacturing	5	T	580	
32731X	Cement manufacturing	6	T	587	
32732X	Ready-mix concrete manufacturing	6	T	588	
327331	Concrete block and brick manufacturing	7	T	590	
327332	Concrete pipe manufacturing	7	T	591	
32733X	Concrete pipe brick and block manufacturing	6	T	589	
32739X	Other concrete product manufacturing	6	T	592	
3273XX	Cement and concrete product manufacturing	5	T	586	
32742X	Gypsum product manufacturing	6	T	595	
3274XX	Lime and gypsum product manufacturing	5	T	593	
32791X	Abrasive product manufacturing	6	T	597	
327991	Cut stone and stone product manufacturing	7	T	599	
327992	Ground or treated minerals and earths mfg.	7	T	600	
327993	Mineral wool manufacturing	7	T	601	
327999	Miscellaneous nonmetallic mineral products	7	T	602	
32799X	All other nonmetallic mineral products mfg.	6	T	598	
3279XX	Other nonmetallic mineral products	5	T	596	
327XXX	Nonmetallic mineral product manufacturing	4	T	568	
331111	Iron and Steel Mills(discontinued in 2014)	1	T	606	
331112	Electrometallurgical Ferroalloy Product Mfg(discontinued in 2014)	1	T	607	
33111X	Iron and steel mills and ferroalloy mfg.	6	T	605	
3311XX	Iron and steel mills and ferroalloy mfg.	5	T	604	
33121X	Iron steel pipe and tube from purchase steel	6	T	609	
331221	Rolled steel shape manufacturing	7	T	611	
331222	Steel wire drawing	7	T	612	
33122X	Rolling and drawing of purchased steel	6	T	610	
3312XX	Steel product mfg. from purchased steel	5	T	608	
331311	Alumina Refining(discontinued in 2014)	1	T	615	
331312	Primary Aluminum Production(discontinued in 2014)	1	T	616	
331313	Primary production of alumina and aluminum	7	T	617	
331314	Secondary smelting and alloying of aluminum	7	T	618	
331315	Aluminum sheet plate and foil manufacturing	7	T	619	
331316	Aluminum Extruded Product Mfg(discontinued in 2014)	1	T	620	
331318	Other al rolling drawing and extruding	7	T	621	
331319	Other Aluminum Rolling and Drawing(discontinued in 2014)	1	T	622	
33131X	Alumina and aluminum production	6	T	614	
3313XX	Alumina and aluminum production	5	T	613	
331411	Primary Smelting and Refining of Copper(discontinued in 2014)	1	T	625	
331419	Primary Smelting and Refining of Nonferrous Metal (ex Copper Aluminum)(discontinued in 2014)	1	T	626	
33141X	Other nonferrous metal production	6	T	624	
331421	Copper Rolling Drawing and Extruding(discontinued in 2014)	1	T	628	
331422	Copper Wire (except Mechanical) Drawing(discontinued in 2014)	1	T	629	
33142X	Rolled drawn extruded and alloyed copper	6	T	627	
331491	Nonferrous metal except cu and al shaping	7	T	632	
331492	Secondary processing of other nonferrous	7	T	633	
