source_code	source_text	display_level	selectable	sort_sequence
9341XX	Fire, flame	4	T	1381	
9342XX	Smoke, fire gases	4	T	1382	
934XXX	Fire, flame, smoke	3	T	1379	
935XXX	Flood	3	T	1383	
9361XX	Cold--environmental	4	T	1386	
9362XX	Heat--environmental	4	T	1387	
936XXX	Temperature extremes--environmental	3	T	1384	
9371XX	Fog	4	T	1390	
9372XX	High winds, gusts	4	T	1391	
9373XX	Ice, sleet, snow	4	T	1392	
9374XX	Lightning	4	T	1393	
9375XX	Rain	4	T	1394	
9377XX	Tornado, hurricane, typhoon	4	T	1396	
9379XX	Weather and atmospheric conditions, n.e.c.	4	T	1397	
937XXX	Weather and atmospheric conditions	3	T	1388	
9399XX	Environmental conditions, n.e.c.	4	T	1401	
939XXX	Other environmental conditions	3	T	1398	
93XXXX	Atmospheric and environmental conditions	2	T	1371	
9513XX	Metal chips, particles	4	T	1413	
951XXX	Chips, particles, splinters	3	T	1409	
952XXX	Sewage	3	T	1416	
953XXX	Trash, garbage	3	T	1417	
959XXX	Scrap, waste, debris, n.e.c.	3	T	1418	
95XXXX	Scrap, waste, debris	2	T	1407	
961XXX	Steam, vapors--nonchemical	3	T	1420	
9621XX	Water	4	T	1423	
9629XX	Liquids, n.e.c.	4	T	1424	
962XXX	Liquids	3	T	1421	
96XXXX	Steam, vapors, liquids, n.e.c.	2	T	1419	
98XXXX	Other sources, n.e.c.	2	T	1425	
9999XX	Nonclassifiable	2	T	1426	
9XXXXX	Other sources	1	T	1343	
